Date,Open,High,Low,Close,Adj Close,Volume
2019-03-14,4.848326,5.011829,4.7947,4.922569,4.922569,5519563
2019-03-15,5.002919,5.797238,4.857916,5.63877,5.63877,4551456
2019-03-16,5.641504,6.240839,5.03027,5.548249,5.548249,2612913
2019-03-17,5.528383,5.528383,3.555822,3.591909,3.591909,1995611
2019-03-18,3.631075,3.949044,3.631051,3.853499,3.853499,1935821
2019-03-19,3.845684,3.92158,3.613726,3.633945,3.633945,2932461
2019-03-20,3.630773,3.644587,2.931619,3.317859,3.317859,2979384
2019-03-21,3.348245,3.347285,2.746415,2.76677,2.76677,2971176
2019-03-22,2.765368,2.767217,2.501436,2.647612,2.647612,3542319
2019-03-23,2.653402,2.674331,2.525432,2.608066,2.608066,3337974
2019-03-24,2.608018,2.936853,2.595299,2.851174,2.851174,2975027
2019-03-25,2.839021,3.003689,2.777991,2.859154,2.859154,3527680
2019-03-26,2.846066,2.899423,2.642078,2.833715,2.833715,4892342
2019-03-27,2.835656,2.894231,2.727683,2.871567,2.871567,5346203
2019-03-28,2.869141,2.874145,2.667426,2.675531,2.675531,4619852
2019-03-29,2.673374,2.72443,2.608601,2.713993,2.713993,3076142
2019-03-30,2.714773,2.731146,2.590843,2.657606,2.657606,2584238
2019-03-31,2.657606,2.78636,2.637899,2.783446,2.783446,3030195
2019-04-01,2.772503,2.947522,2.762057,2.850704,2.850704,3182369
2019-04-02,2.878834,2.92072,2.763885,2.885219,2.885219,4087277
2019-04-03,2.885219,2.983348,2.78778,2.859049,2.859049,3858457
2019-04-04,2.855972,2.907281,2.809699,2.866198,2.866198,4069888
2019-04-05,2.864176,2.945986,2.809563,2.921266,2.921266,4154192
2019-04-06,2.921894,3.423326,2.89183,3.411344,3.411344,3546422
2019-04-07,3.431763,3.748391,3.330475,3.541164,3.541164,3215349
2019-04-08,3.555146,4.479957,3.540688,4.17256,4.17256,3094195
2019-04-09,4.17256,4.186665,2.913152,2.94426,2.94426,3987224
2019-04-10,2.912495,3.197552,2.803767,2.862985,2.862985,3562842
2019-04-11,2.878546,2.950039,2.665275,2.688323,2.688323,4050026
2019-04-12,2.694234,3.314755,2.666779,3.293208,3.293208,3644564
2019-04-13,3.291606,3.417282,3.187983,3.290532,3.290532,3115473
2019-04-14,3.290532,3.431431,3.152637,3.411095,3.411095,3124352
2019-04-15,3.411095,3.430552,3.272635,3.32023,3.32023,3086789
2019-04-16,3.315854,3.431618,3.264671,3.387429,3.387429,5127105
2019-04-17,3.34256,3.407073,3.284878,3.33308,3.33308,3865910
2019-04-18,3.332429,3.406704,3.28477,3.357533,3.357533,3049882
2019-04-19,3.358808,3.768785,3.304444,3.752026,3.752026,4468310
2019-04-20,3.746162,4.18558,3.737652,4.182518,4.182518,3178273
2019-04-21,4.156668,4.214123,3.579319,4.014637,4.014637,3404472
2019-04-22,3.980006,5.352122,3.265756,3.376823,3.376823,11319231
2019-04-23,3.376823,4.09076,3.180958,3.186292,3.186292,53558142
2019-04-24,3.186292,3.204121,2.400701,2.818459,2.818459,40292105
2019-04-25,2.856769,2.929169,2.501855,2.562618,2.562618,29915437
2019-04-26,2.562717,2.918936,2.476861,2.812406,2.812406,28212150
2019-04-27,2.818146,2.841252,2.62781,2.658579,2.658579,18692497
2019-04-28,2.661337,3.983273,2.63059,3.429288,3.429288,68483828
2019-04-29,3.448943,3.612544,2.859089,2.898333,2.898333,66772926
2019-04-30,2.898204,3.127883,2.898204,3.020032,3.020032,41364522
2019-05-01,3.018585,3.518947,3.004374,3.363305,3.363305,69354585
2019-05-02,3.363086,3.538555,3.239004,3.525527,3.525527,64303548
2019-05-03,3.525723,4.056192,3.50362,4.031617,4.031617,122863101
2019-05-04,4.03293,4.238322,3.639162,3.993012,3.993012,125167839
2019-05-05,3.994732,3.994732,3.635679,3.690777,3.690777,51929749
2019-05-06,3.688862,3.701353,3.445423,3.607825,3.607825,48123563
2019-05-07,3.608682,3.836791,3.530939,3.530939,3.530939,44570442
2019-05-08,3.520381,3.520381,3.281738,3.346663,3.346663,46737070
2019-05-09,3.357147,3.437669,2.716,2.994903,2.994903,58682863
2019-05-10,2.994019,3.159666,2.838939,2.948661,2.948661,41239570
2019-05-11,2.950107,3.211037,2.871455,3.090878,3.090878,56051149
2019-05-12,3.077303,3.124426,2.855431,2.900523,2.900523,35287159
2019-05-13,2.900523,3.193035,2.889801,3.037336,3.037336,48711562
2019-05-14,3.046079,3.163182,2.963413,3.097528,3.097528,52700492
2019-05-15,3.09661,3.594095,3.091294,3.525363,3.525363,63366347
2019-05-16,3.522444,3.714001,3.155445,3.342771,3.342771,59840056
2019-05-17,3.340101,3.753192,3.086373,3.456586,3.456586,92545717
2019-05-18,3.456586,3.903951,3.417646,3.706032,3.706032,56755276
2019-05-19,3.700122,4.066698,3.654888,3.844613,3.844613,64440461
2019-05-20,3.844613,3.857721,3.567858,3.711956,3.711956,54581800
2019-05-21,3.703912,3.782829,3.578002,3.758245,3.758245,45078645
2019-05-22,3.758245,3.775429,3.441815,3.442203,3.442203,42189804
2019-05-23,3.436968,3.453012,3.270373,3.423147,3.423147,39592459
2019-05-24,3.426193,3.756118,3.382249,3.518134,3.518134,64871825
2019-05-25,3.518134,3.622757,3.418383,3.480447,3.480447,34132082
2019-05-26,3.473078,3.573266,3.371314,3.543044,3.543044,38781112
2019-05-27,3.549299,3.707849,3.549299,3.682691,3.682691,59904936
2019-05-28,3.68292,3.805135,3.558575,3.762378,3.762378,44593183
2019-05-29,3.762378,3.801496,3.564838,3.713095,3.713095,41531922
2019-05-30,3.713095,5.175816,3.709525,4.711267,4.711267,216431012
2019-05-31,4.711267,4.718974,4.185816,4.599272,4.599272,108186047
2019-06-01,4.599787,4.985238,4.503734,4.573175,4.573175,99032721
2019-06-02,4.573175,5.033181,4.43392,5.030985,5.030985,67042749
2019-06-03,5.030985,5.739194,4.806313,5.22151,5.22151,167591152
2019-06-04,5.217323,5.403059,4.579104,4.660486,4.660486,102131945
2019-06-05,4.675395,4.95494,4.479968,4.87402,4.87402,74007458
2019-06-06,4.870531,4.87333,4.468047,4.771878,4.771878,61436407
2019-06-07,4.769439,5.165068,4.679188,4.97711,4.97711,79616343
2019-06-08,4.977205,4.984274,4.695981,4.819327,4.819327,39457673
2019-06-09,4.818088,4.86221,4.486063,4.615934,4.615934,39010644
2019-06-10,4.603136,4.815116,4.534678,4.813571,4.813571,48458092
2019-06-11,4.815464,4.864727,4.565105,4.703155,4.703155,42190036
2019-06-12,4.703199,4.919439,4.638346,4.831074,4.831074,50181505
2019-06-13,4.830433,5.139726,4.78794,4.958438,4.958438,53553007
2019-06-14,4.959002,5.004806,4.719719,5.003109,5.003109,54729397
2019-06-15,5.00547,5.00547,4.864094,4.925475,4.925475,41058222
2019-06-16,4.925475,5.35478,4.891979,5.35478,5.35478,56216684
2019-06-17,5.351694,5.666202,5.143335,5.595439,5.595439,65363028
2019-06-18,5.593632,5.614967,5.171313,5.240833,5.240833,46447770
2019-06-19,5.240732,5.42398,5.237023,5.255079,5.255079,35143896
2019-06-20,5.251632,5.270492,4.976474,5.112086,5.112086,49510952
2019-06-21,5.113412,5.190826,5.004364,5.113461,5.113461,50980032
2019-06-22,5.116308,5.43313,5.105919,5.251577,5.251577,64744423
2019-06-23,5.24788,5.614962,5.204274,5.335684,5.335684,53699837
2019-06-24,5.335684,5.352079,5.136177,5.212004,5.212004,45770523
2019-06-25,5.215456,5.278789,5.107399,5.185233,5.185233,59149200
2019-06-26,5.185233,5.385347,4.884782,4.967924,4.967924,90790184
2019-06-27,4.967924,5.027784,4.189603,4.315752,4.315752,109267745
2019-06-28,4.317994,4.693884,4.247413,4.664464,4.664464,79179263
2019-06-29,4.666971,4.850161,4.428438,4.788923,4.788923,68362954
2019-06-30,4.789192,4.809533,4.264703,4.264703,4.264703,65744481
2019-07-01,4.264703,4.475844,4.07956,4.320178,4.320178,71799206
2019-07-02,4.317149,4.458267,4.043303,4.245998,4.245998,75964451
2019-07-03,4.243356,4.479796,4.241429,4.455448,4.455448,69405529
2019-07-04,4.456511,4.601623,4.363517,4.364615,4.364615,53373827
2019-07-05,4.363764,4.374059,4.275651,4.279765,4.279765,52062240
2019-07-06,4.281085,4.389614,4.20788,4.225217,4.225217,46060750
2019-07-07,4.225835,4.338219,4.158098,4.316372,4.316372,42655540
2019-07-08,4.318244,4.330434,4.105152,4.148084,4.148084,47328455
2019-07-09,4.148161,4.167092,3.944701,4.019646,4.019646,86928486
2019-07-10,4.008712,4.024576,3.385073,3.586788,3.586788,109574049
2019-07-11,3.587888,3.718981,3.260486,3.471242,3.471242,174974589
2019-07-12,3.474778,3.669924,3.362478,3.611496,3.611496,44169549
2019-07-13,3.483937,3.619132,3.302423,3.404506,3.404506,188024845
2019-07-14,3.405998,3.409779,3.036999,3.038971,3.038971,188806970
2019-07-15,3.042566,3.54312,2.847014,3.346244,3.346244,194945414
2019-07-16,3.347159,3.401833,2.864402,2.941722,2.941722,136554635
2019-07-17,2.937233,3.228268,2.878163,3.083538,3.083538,156232501
2019-07-18,3.097539,3.331374,2.968765,3.284834,3.284834,156087858
2019-07-19,3.284834,3.350884,3.064223,3.147808,3.147808,141138092
2019-07-20,3.153284,3.372972,3.151721,3.256615,3.256615,142648317
2019-07-21,3.256615,3.45791,3.198256,3.379063,3.379063,146250462
2019-07-22,3.37297,3.473749,3.129666,3.207044,3.207044,103334478
2019-07-23,3.208666,3.208666,2.983403,2.99425,2.99425,98607634
2019-07-24,3.001183,3.251563,2.91473,3.132319,3.132319,111773889
2019-07-25,3.128065,3.230274,3.060836,3.079559,3.079559,95490857
2019-07-26,3.071989,3.170128,2.982159,3.153213,3.153213,94217337
2019-07-27,3.150841,3.238624,2.879298,2.92072,2.92072,94699488
2019-07-28,2.92072,2.964018,2.828263,2.923174,2.923174,89108293
2019-07-29,2.921034,2.976302,2.884042,2.949806,2.949806,98128734
2019-07-30,2.950087,3.008703,2.889365,2.95728,2.95728,94223838
2019-07-31,2.956109,3.086482,2.956109,3.010344,3.010344,94803466
2019-08-01,3.008709,3.031841,2.865441,2.933996,2.933996,56446798
2019-08-02,2.931493,3.218727,2.908969,3.008091,3.008091,87902219
2019-08-03,3.005663,3.119231,2.990633,3.04674,3.04674,77901910
2019-08-04,3.044695,3.106991,2.954347,2.971885,2.971885,74504484
2019-08-05,2.969978,3.189395,2.969978,3.11857,3.11857,109233249
2019-08-06,3.119061,3.121256,2.882203,2.921869,2.921869,103961202
2019-08-07,2.917839,3.019162,2.856913,2.878385,2.878385,105345803
2019-08-08,2.878385,2.88115,2.603048,2.686534,2.686534,106382091
2019-08-09,2.691562,2.725346,2.556031,2.608058,2.608058,100821604
2019-08-10,2.608058,2.795453,2.605844,2.771554,2.771554,109057081
2019-08-11,2.773496,2.933642,2.735375,2.931693,2.931693,99671385
