Date,Open,High,Low,Close,Adj Close,Volume
1998-01-13,9.34375,9.46875,9.28125,9.375,2.497232,165800
1998-01-14,9.40625,9.46875,9.3125,9.34375,2.488909,447000
1998-01-15,9.53125,9.625,9.53125,9.53125,2.538853,137200
1998-01-16,9.5625,9.71875,9.53125,9.625,2.563825,145200
1998-01-20,9.625,9.6875,9.5,9.5625,2.547177,134600
1998-01-21,9.4375,9.6875,9.375,9.53125,2.538853,168000
1998-01-22,9.53125,9.6875,9.5,9.65625,2.57215,60800
1998-01-23,9.625,9.6875,9.5625,9.59375,2.555502,114800
1998-01-26,9.5,9.5625,9.46875,9.5,2.530529,73400
1998-01-27,9.4375,9.5,9.3125,9.3125,2.480584,107400
1998-01-28,9.4375,9.5,9.40625,9.4375,2.513881,215200
1998-01-29,9.125,9.1875,9.09375,9.125,2.43064,218400
1998-01-30,9.25,9.25,9.1875,9.1875,2.447288,128400
1998-02-02,9.25,9.34375,9.25,9.28125,2.472261,58800
1998-02-03,9.4375,9.5625,9.375,9.5625,2.547177,146200
1998-02-04,9.46875,9.5,9.46875,9.5,2.530529,46000
1998-02-05,9.625,9.875,9.625,9.71875,2.588797,88800
1998-02-06,9.8125,9.875,9.625,9.78125,2.605445,130600
1998-02-09,9.65625,9.75,9.625,9.71875,2.588797,167000
1998-02-10,9.65625,9.78125,9.65625,9.75,2.597122,67200
1998-02-11,9.75,9.75,9.53125,9.59375,2.555502,85200
1998-02-12,9.53125,9.65625,9.5,9.625,2.563825,54000
1998-02-13,9.5625,9.6875,9.53125,9.625,2.563825,152000
1998-02-17,9.6875,9.71875,9.5625,9.59375,2.555502,125400
1998-02-18,9.65625,9.71875,9.5625,9.65625,2.57215,74400
1998-02-19,9.71875,9.8125,9.65625,9.75,2.597122,104800
1998-02-20,9.71875,9.75,9.6875,9.75,2.597122,136200
1998-02-23,9.71875,9.75,9.625,9.71875,2.588797,117200
1998-02-24,9.78125,9.90625,9.78125,9.90625,2.638742,116800
1998-02-25,10.125,10.1875,10.09375,10.1875,2.713659,119200
1998-02-26,10.09375,10.09375,9.90625,9.96875,2.655391,82800
