Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,2.126533,2.333437,2.059133,2.193664,2.193664,36928080
2020-08-21,2.191276,2.341478,2.064244,2.196691,2.196691,37678146
2020-08-22,2.199397,3.445978,2.151924,3.426173,3.426173,371137949
2020-08-23,3.427982,3.427982,2.839123,3.029807,3.029807,244969210
2020-08-24,3.045347,3.660207,2.912212,3.521317,3.521317,311911111
2020-08-25,3.507806,4.37982,3.445979,4.199679,4.199679,683433333
2020-08-26,4.213375,4.959192,3.908077,4.601068,4.601068,797660334
2020-08-27,4.596571,5.139647,4.030066,4.264068,4.264068,976744032
2020-08-28,4.272514,4.744932,4.17562,4.613837,4.613837,544648150
2020-08-29,4.625798,4.915649,4.52572,4.613229,4.613229,394942868
2020-08-30,4.608957,4.658441,4.306762,4.394516,4.394516,363348576
2020-08-31,4.421495,4.834301,4.33395,4.714374,4.714374,383587797
2020-09-01,4.713469,5.100539,4.618083,4.693489,4.693489,448937349
2020-09-02,4.688951,4.80184,4.237944,4.599522,4.599522,437633175
2020-09-03,4.593314,4.76169,4.284934,4.333915,4.333915,575805301
2020-09-04,4.317887,4.502824,3.507419,3.875322,3.875322,636936568
2020-09-05,3.867788,4.00014,2.751313,3.104386,3.104386,606823290
2020-09-06,3.11547,3.696667,2.831348,3.623661,3.623661,697753178
2020-09-07,3.621078,3.637999,3.063834,3.49119,3.49119,513173702
2020-09-08,3.486851,3.506911,3.177683,3.296436,3.296436,400601700
2020-09-09,3.303025,3.686085,3.208425,3.62254,3.62254,410875553
2020-09-10,3.62324,3.752443,3.495658,3.577164,3.577164,494678440
2020-09-11,3.575808,3.714138,3.365224,3.630766,3.630766,495093318
2020-09-12,3.634701,4.126733,3.529517,4.014877,4.014877,589093749
2020-09-13,4.021133,4.281984,3.756799,4.137731,4.137731,858697130
2020-09-14,4.136536,4.347316,4.007131,4.162745,4.162745,784699294
2020-09-15,4.176689,4.221594,3.956179,3.956179,3.956179,697079461
2020-09-16,3.935416,4.094271,3.869684,3.920114,3.920114,611406771
2020-09-17,3.920114,4.181088,3.90781,4.112452,4.112452,598299065
2020-09-18,4.11662,4.203379,3.952518,4.061291,4.061291,529089604
2020-09-19,4.067077,4.068598,3.735521,3.813273,3.813273,468600938
2020-09-20,3.815986,3.851252,3.425789,3.612812,3.612812,617419077
2020-09-21,3.612812,3.629384,3.08584,3.194105,3.194105,855540138
2020-09-22,3.186932,3.304181,3.076684,3.275972,3.275972,528238932
2020-09-23,3.271335,3.385864,3.123453,3.170869,3.170869,438152148
2020-09-24,3.162967,3.451677,3.138527,3.435392,3.435392,343050143
2020-09-25,3.430917,3.559639,3.3389,3.468778,3.468778,333614306
2020-09-26,3.469792,3.502566,3.328792,3.411271,3.411271,258725320
2020-09-27,3.40556,3.422672,3.264434,3.37686,3.37686,247851538
2020-09-28,3.370714,3.567689,3.344334,3.416153,3.416153,422183548
2020-09-29,3.434715,3.577843,3.391819,3.498269,3.498269,395626851
2020-09-30,3.500178,3.500178,3.316613,3.367635,3.367635,292996401
2020-10-01,3.368554,3.534544,3.300974,3.37097,3.37097,345447542
2020-10-02,3.371491,3.389544,3.044971,3.18749,3.18749,428986922
2020-10-03,3.190692,3.193932,3.121732,3.146903,3.146903,279866087
2020-10-04,3.145037,3.246016,3.10938,3.228249,3.228249,221478502
2020-10-05,3.233943,3.270447,3.191309,3.211543,3.211543,255729492
2020-10-06,3.208905,3.21872,2.830649,2.915428,2.915428,514035982
2020-10-07,2.913327,3.003956,2.811568,2.987535,2.987535,487029734
2020-10-08,2.986628,3.217356,2.828278,3.170596,3.170596,474682676
2020-10-09,3.177714,3.340246,3.105645,3.267437,3.267437,376769285
2020-10-10,3.265858,3.430128,3.24921,3.259346,3.259346,377084268
2020-10-11,3.263747,3.32174,3.202378,3.270873,3.270873,297835288
2020-10-12,3.265944,3.393784,3.234501,3.306583,3.306583,374757142
2020-10-13,3.303622,3.329661,3.205504,3.285254,3.285254,325216412
2020-10-14,3.289993,3.344557,3.143996,3.227082,3.227082,399780442
2020-10-15,3.22184,3.22184,3.111589,3.175233,3.175233,349255426
2020-10-16,3.177724,3.221451,2.97819,3.027125,3.027125,343241058
2020-10-17,3.033009,3.079652,2.997765,3.07182,3.07182,159855890
2020-10-18,3.072677,3.191422,3.066214,3.175461,3.175461,157903284
2020-10-19,3.180345,3.178333,3.061268,3.082098,3.082098,193072680
2020-10-20,3.081401,3.194712,2.994846,3.018195,3.018195,388004396
2020-10-21,3.014845,3.23095,3.01431,3.154092,3.154092,348850635
2020-10-22,3.153936,3.310566,3.146933,3.264222,3.264222,280860428
2020-10-23,3.268015,3.41852,3.225079,3.271308,3.271308,354065634
2020-10-24,3.271311,3.396517,3.253722,3.33858,3.33858,237864867
2020-10-25,3.33858,3.409023,3.27158,3.321264,3.321264,259792911
2020-10-26,3.321264,3.645123,3.298222,3.631885,3.631885,555491914
2020-10-27,3.631885,3.78351,3.573666,3.594427,3.594427,629569861
