Date,Open,High,Low,Close,Adj Close,Volume
2019-12-17,0.000151,0.0003,9.3e-05,0.00013,0.00013,7189
2019-12-18,0.000131,0.000203,0.000128,0.000203,0.000203,38
2019-12-19,0.000203,0.000204,0.000137,0.000197,0.000197,25
2019-12-20,0.000197,0.000197,8.8e-05,9.9e-05,9.9e-05,45
2019-12-21,9.9e-05,0.000168,9.9e-05,0.000167,0.000167,198
2019-12-22,0.000168,0.000168,1.1e-05,1.1e-05,1.1e-05,418
2019-12-23,1.1e-05,0.000121,1.1e-05,8.9e-05,8.9e-05,39
2019-12-24,8.9e-05,9e-05,5.4e-05,5.5e-05,5.5e-05,27
2019-12-25,5.5e-05,0.000185,5.3e-05,9.7e-05,9.7e-05,0
2019-12-26,9.7e-05,9.8e-05,6.8e-05,9.3e-05,9.3e-05,15
2019-12-27,9.3e-05,9.4e-05,6.8e-05,8.5e-05,8.5e-05,62
2019-12-28,8.5e-05,8.6e-05,6.1e-05,6.1e-05,6.1e-05,114
2019-12-29,6.1e-05,7.2e-05,6e-05,7.1e-05,7.1e-05,28
2019-12-30,7.1e-05,7.2e-05,5.1e-05,5.1e-05,5.1e-05,17
2019-12-31,5.1e-05,0.000201,4.1e-05,6e-05,6e-05,377
2020-01-01,6e-05,0.000116,4.1e-05,6e-05,6e-05,429
2020-01-02,6e-05,9.7e-05,4.2e-05,5.3e-05,5.3e-05,246
2020-01-03,5.3e-05,9.3e-05,5.3e-05,9.2e-05,9.2e-05,41
2020-01-04,9.2e-05,9.3e-05,5.2e-05,7e-05,7e-05,0
2020-01-05,7e-05,7.7e-05,4.1e-05,4.1e-05,4.1e-05,0
2020-01-06,4.1e-05,7.7e-05,4.1e-05,5.5e-05,5.5e-05,0
2020-01-07,5.5e-05,7.6e-05,4.1e-05,5.2e-05,5.2e-05,0
2020-01-08,5.2e-05,7.8e-05,4.6e-05,6.5e-05,6.5e-05,0
2020-01-09,6.5e-05,6.8e-05,6.3e-05,6.8e-05,6.8e-05,0
2020-01-10,6.8e-05,8.4e-05,6.7e-05,7.2e-05,7.2e-05,0
2020-01-11,7.2e-05,8.3e-05,6.2e-05,8.2e-05,8.2e-05,0
2020-01-12,8.2e-05,8.4e-05,8.2e-05,8.4e-05,8.4e-05,0
2020-01-13,8.4e-05,0.000105,8.4e-05,0.000104,0.000104,0
2020-01-14,0.000104,0.000109,6.8e-05,0.000108,0.000108,0
2020-01-15,0.000108,0.000111,7.5e-05,9.9e-05,9.9e-05,0
2020-01-16,9.9e-05,0.0001,6.9e-05,9.3e-05,9.3e-05,0
2020-01-17,9.3e-05,9.6e-05,7.3e-05,7.5e-05,7.5e-05,0
2020-01-18,7.5e-05,7.7e-05,7.3e-05,7.6e-05,7.6e-05,0
2020-01-19,7.6e-05,8.5e-05,7.2e-05,7.3e-05,7.3e-05,0
2020-01-20,7.3e-05,7.4e-05,7.1e-05,7.3e-05,7.3e-05,0
2020-01-21,7.3e-05,7.3e-05,7.3e-05,7.3e-05,7.3e-05,0
2020-01-22,7.3e-05,7.3e-05,7.3e-05,7.2e-05,7.2e-05,0
2020-01-23,7.2e-05,7.8e-05,7.2e-05,7.8e-05,7.8e-05,2142
2020-01-24,7.8e-05,7.8e-05,7.8e-05,7.8e-05,7.8e-05,34
2020-01-25,7.8e-05,8.5e-05,7.2e-05,7.8e-05,7.8e-05,18578
2020-01-26,7.8e-05,7.8e-05,7.8e-05,7.9e-05,7.9e-05,53
2020-01-27,7.9e-05,9.1e-05,7.8e-05,9.1e-05,9.1e-05,19
2020-01-28,9.1e-05,9.1e-05,7.2e-05,7.8e-05,7.8e-05,8953
2020-01-29,7.8e-05,7.8e-05,7.8e-05,7.8e-05,7.8e-05,25
2020-01-30,7.8e-05,8.4e-05,7.1e-05,8.4e-05,8.4e-05,16139
2020-01-31,8.4e-05,8.4e-05,7.1e-05,7.6e-05,7.6e-05,13385
2020-02-01,7.6e-05,7.6e-05,6.3e-05,6.3e-05,6.3e-05,73
2020-02-02,6.3e-05,7.6e-05,6.3e-05,7.6e-05,7.6e-05,268
2020-02-03,7.6e-05,7.6e-05,7e-05,7.1e-05,7.1e-05,5729
2020-02-04,7.1e-05,0.000104,7.1e-05,9.1e-05,9.1e-05,14305
2020-02-05,9.1e-05,0.000156,9e-05,0.000156,0.000156,41
2020-02-06,0.000156,0.000156,0.000111,0.000157,0.000157,111
2020-02-07,0.000156,0.000389,0.000155,0.000325,0.000325,24
2020-02-08,0.000325,0.000325,0.000228,0.000228,0.000228,40
2020-02-09,0.000228,0.000228,0.000228,0.000228,0.000228,3
2020-02-10,0.000228,0.000228,0.000221,0.000222,0.000222,54
2020-02-11,0.000222,0.000223,0.000222,0.000222,0.000222,54
2020-02-12,0.000222,0.000223,0.000196,0.000196,0.000196,39
2020-02-13,0.000196,0.000196,0.000194,0.000194,0.000194,39
2020-02-14,0.000194,0.000195,0.000194,0.000194,0.000194,39
2020-02-15,0.000194,0.00024,0.000194,0.000233,0.000233,411212
2020-02-16,0.000233,0.000233,0.000194,0.000194,0.000194,647657
2020-02-17,0.000194,0.000201,0.000175,0.000175,0.000175,351876
2020-02-18,0.000175,0.0002,0.000174,0.0002,0.0002,325515
2020-02-19,0.0002,0.000214,0.000175,0.000175,0.000175,1829625
2020-02-20,0.000175,0.000206,0.000175,0.000193,0.000193,2522985
2020-02-21,0.000193,0.000206,0.000179,0.000192,0.000192,2496301
2020-02-22,0.000192,0.000198,0.000179,0.000192,0.000192,2380136
2020-02-23,0.000192,0.000224,0.000179,0.000179,0.000179,3729053
2020-02-24,0.000179,0.000235,0.000178,0.000229,0.000229,5085880
2020-02-25,0.000229,0.000236,0.000198,0.000221,0.000221,12271134
2020-02-26,0.000221,0.000235,0.000184,0.000211,0.000211,15016394
2020-02-27,0.000211,0.000225,0.00018,0.000224,0.000224,14712233
2020-02-28,0.000224,0.000227,0.000179,0.000214,0.000214,15524601
2020-02-29,0.000227,0.000227,0.000214,0.000221,0.000221,13193967
2020-03-01,0.000221,0.000228,0.000209,0.000209,0.000209,14769566
2020-03-02,0.000209,0.000209,0.000183,0.000198,0.000198,14240853
2020-03-03,0.000198,0.000205,0.000196,0.000204,0.000204,10246760
2020-03-04,0.000204,0.000205,0.000197,0.000197,0.000197,1024732
2020-03-05,0.000197,0.000204,0.000111,0.000149,0.000149,2944325
2020-03-06,0.000149,0.000194,0.000129,0.000193,0.000193,5003673
2020-03-07,0.000187,0.000213,0.000168,0.000213,0.000213,6019484
2020-03-08,0.000213,0.000212,0.000193,0.000206,0.000206,5130220
2020-03-09,0.000206,0.000211,0.000134,0.00021,0.00021,3250721
2020-03-10,0.00021,0.000216,0.000191,0.000203,0.000203,5328366
2020-03-11,0.000203,0.000317,0.000162,0.000203,0.000203,3712131
2020-03-12,0.000203,0.000245,0.000192,0.000209,0.000209,3522951
2020-03-13,0.000208,0.000209,0.000158,0.000179,0.000179,1872687
2020-03-14,0.000185,0.000201,0.000157,0.000176,0.000176,2842711
2020-03-15,0.000176,0.000273,0.000176,0.00027,0.00027,1549706
2020-03-16,0.00026,0.000277,0.000202,0.000214,0.000214,2271203
2020-03-17,0.000214,0.000254,0.000202,0.000237,0.000237,2077673
2020-03-18,0.000237,0.000252,0.000232,0.000244,0.000244,2486577
2020-03-19,0.000244,0.000314,0.00022,0.000313,0.000313,931761
2020-03-20,0.000313,0.000413,0.000265,0.000372,0.000372,2026694
2020-03-21,0.000372,0.000379,0.000322,0.000359,0.000359,2639741
2020-03-22,0.000359,0.000393,0.000329,0.000353,0.000353,1595823
2020-03-23,0.000353,0.000363,0.000322,0.000353,0.000353,1073224
2020-03-24,0.000354,0.000381,0.000347,0.000369,0.000369,917028
2020-03-25,0.00037,0.000442,0.000361,0.00038,0.00038,1862448
2020-03-26,0.00038,0.000445,0.000364,0.00043,0.00043,1875970
2020-03-27,0.000424,0.000435,0.000318,0.000392,0.000392,1644978
2020-03-28,0.000392,0.000398,0.00033,0.000361,0.000361,1392836
