Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,3.127277,3.17342,3.053714,3.110083,3.110083,1888620
2014-09-18,3.114313,3.116421,2.797264,2.852673,2.852673,2782063
2014-09-19,2.853927,2.879348,2.596332,2.657519,2.657519,2405557
2014-09-20,2.658397,2.834559,2.580405,2.63214,2.63214,3371606
2014-09-21,2.617789,2.640546,2.551422,2.603741,2.603741,1797523
2014-09-22,2.603747,2.70344,2.576737,2.591698,2.591698,1133826
2014-09-23,2.590256,2.978612,2.56106,2.895839,2.895839,2844042
2014-09-24,2.894393,2.895131,2.821246,2.859027,2.859027,1631005
2014-09-25,2.85847,2.861452,2.731945,2.764636,2.764636,1253497
2014-09-26,2.761745,2.788251,2.691525,2.728699,2.728699,952948
2014-09-27,2.729191,2.762949,2.706789,2.721443,2.721443,547467
2014-09-28,2.723178,2.743482,2.588078,2.60699,2.60699,1072281
2014-09-29,2.609699,2.666903,2.584241,2.615179,2.615179,1054652
2014-09-30,2.618505,2.805952,2.602815,2.760305,2.760305,1515280
2014-10-01,2.757979,2.782835,2.708376,2.735874,2.735874,724149
2014-10-02,2.736857,2.754894,2.654506,2.675576,2.675576,696305
2014-10-03,2.673533,2.700877,2.608557,2.615498,2.615498,921675
2014-10-04,2.614252,2.683731,2.435639,2.46708,2.46708,4353073
2014-10-05,2.469504,2.532995,2.180417,2.317757,2.317757,5102556
2014-10-06,2.320207,2.44587,2.23587,2.378427,2.378427,5900492
2014-10-07,2.372802,2.46266,2.297091,2.399049,2.399049,4412087
2014-10-08,2.397084,2.432465,2.330885,2.418249,2.418249,3620582
2014-10-09,2.418701,2.485968,2.398715,2.420065,2.420065,5159536
2014-10-10,2.418948,2.42861,2.353757,2.368516,2.368516,3927645
2014-10-11,2.361381,2.388162,2.287975,2.346911,2.346911,2176404
2014-10-12,2.34935,2.393407,2.299247,2.392996,2.392996,1685575
2014-10-13,2.390578,2.424081,2.353308,2.404146,2.404146,2615147
2014-10-14,2.405852,2.657144,2.406451,2.565079,2.565079,5190598
2014-10-15,2.565758,2.565113,2.511637,2.537483,2.537483,3025885
2014-10-16,2.538309,2.56066,2.461915,2.480046,2.480046,2613025
2014-10-17,2.480388,2.493499,2.459511,2.481371,2.481371,2212937
2014-10-18,2.480352,2.540067,2.45741,2.520201,2.520201,1482719
2014-10-19,2.520618,2.523743,2.46967,2.479296,2.479296,979763
2014-10-20,2.475959,2.475651,2.405982,2.420348,2.420348,1394633
2014-10-21,2.421567,2.459081,2.413739,2.445692,2.445692,1209708
2014-10-22,2.446276,2.456398,2.392533,2.395935,2.395935,1305530
2014-10-23,2.398211,2.410562,2.325473,2.333926,2.333926,1991999
2014-10-24,2.333826,2.356196,2.323601,2.329395,2.329395,2211406
2014-10-25,2.33014,2.337046,2.255743,2.279681,2.279681,1473415
2014-10-26,2.280551,2.341727,2.275939,2.316745,2.316745,1234827
2014-10-27,2.314806,2.41656,2.307401,2.361562,2.361562,1671337
2014-10-28,2.364638,2.417683,2.352852,2.383091,2.383091,1376789
2014-10-29,2.38731,2.387441,2.324088,2.329198,2.329198,1594588
2014-10-30,2.333917,2.386385,2.320645,2.366606,2.366606,1667463
2014-10-31,2.36585,2.378432,2.340386,2.346983,2.346983,1440388
2014-11-01,2.348646,2.348953,2.225133,2.232316,2.232316,1548121
2014-11-02,2.236249,2.265027,2.222257,2.245037,2.245037,1272090
2014-11-03,2.245545,2.29433,2.225386,2.239927,2.239927,1273632
2014-11-04,2.241405,2.262065,2.218529,2.244429,2.244429,1459801
2014-11-05,2.243523,2.29759,2.243944,2.283454,2.283454,1788961
2014-11-06,2.281757,2.306547,2.267671,2.304306,2.304306,1554331
2014-11-07,2.304375,2.314912,2.239646,2.241145,2.241145,1522718
2014-11-08,2.240692,2.254615,2.22537,2.240446,2.240446,950180
2014-11-09,2.239551,2.289914,2.234574,2.286814,2.286814,1179994
2014-11-10,2.287254,2.347188,2.261381,2.332069,2.332069,2237364
2014-11-11,2.333886,2.360169,2.305843,2.308396,2.308396,1748279
2014-11-12,2.310808,2.620877,2.311243,2.580459,2.580459,5538872
2014-11-13,2.621291,2.759067,2.5593,2.610307,2.610307,8894764
2014-11-14,2.602561,2.606192,2.463566,2.546352,2.546352,4843205
2014-11-15,2.548197,2.577175,2.431704,2.460158,2.460158,2484056
2014-11-16,2.451771,2.489915,2.442069,2.479493,2.479493,1909628
2014-11-17,2.477533,2.557092,2.448217,2.479816,2.479816,2537158
2014-11-18,2.478351,2.497787,2.395371,2.412748,2.412748,2575733
2014-11-19,2.41902,2.461218,2.406379,2.429777,2.429777,1824059
2014-11-20,2.429458,2.436028,2.288663,2.30167,2.30167,2347103
2014-11-21,2.303422,2.303129,2.219225,2.233889,2.233889,2460279
2014-11-22,2.236579,2.31291,2.228964,2.250728,2.250728,1562866
2014-11-23,2.250402,2.308558,2.245899,2.297743,2.297743,1078418
2014-11-24,2.297922,2.349433,2.279868,2.311767,2.311767,2090679
2014-11-25,2.309493,2.358492,2.256269,2.269691,2.269691,2206941
2014-11-26,2.270588,2.284955,2.250369,2.255454,2.255454,1582028
2014-11-27,2.258374,2.267991,2.259894,2.263979,2.263979,1122291
2014-11-28,2.264557,2.328244,2.231727,2.303375,2.303375,1282845
2014-11-29,2.303918,2.323993,2.281938,2.292139,2.292139,1447424
2014-11-30,2.291934,2.309932,2.277648,2.290897,2.290897,772767
2014-12-01,2.290576,2.310203,2.284989,2.273654,2.273654,810475
2014-12-02,2.274194,2.331184,2.274212,2.320785,2.320785,1311485
2014-12-03,2.318804,2.334985,2.292085,2.302263,2.302263,1093409
2014-12-04,2.302059,2.321016,2.288444,2.291657,2.291657,1461804
2014-12-05,2.292588,2.324655,2.283378,2.321909,2.321909,1508644
2014-12-06,2.320452,2.328326,2.312565,2.319528,2.319528,1084849
2014-12-07,2.320221,2.406167,2.315671,2.384451,2.384451,1130326
2014-12-08,2.382659,2.418253,2.334462,2.334462,2.334462,1466835
2014-12-09,2.335625,2.346007,2.219881,2.245644,2.245644,2300344
2014-12-10,2.247347,2.259816,2.215726,2.222557,2.222557,1258894
2014-12-11,2.218791,2.266096,2.189313,2.214991,2.214991,1697429
2014-12-12,2.213604,2.221217,2.212618,2.218715,2.218715,1311467
2014-12-13,2.218625,2.220655,2.201438,2.211944,2.211944,1350245
2014-12-14,2.21139,2.22637,2.206031,2.213905,2.213905,984384
2014-12-15,2.214306,2.214336,2.205153,2.205958,2.205958,1465211
2014-12-16,2.206636,2.213773,1.901087,1.915424,1.915424,3316103
2014-12-17,1.912438,1.950445,1.851609,1.888273,1.888273,2549123
2014-12-18,1.89097,1.922953,1.736038,1.790865,1.790865,2745602
2014-12-19,1.79068,1.841497,1.741644,1.835761,1.835761,1778898
2014-12-20,1.834474,1.883479,1.834474,1.870612,1.870612,1658231
2014-12-21,1.864886,1.868559,1.818146,1.824133,1.824133,1399994
2014-12-22,1.830443,1.857778,1.813049,1.852716,1.852716,1590550
2014-12-23,1.853698,1.863906,1.833987,1.857053,1.857053,1225182
2014-12-24,1.854308,1.855727,1.756135,1.759519,1.759519,1334087
2014-12-25,1.757984,1.770592,1.71995,1.7352,1.7352,1054773
2014-12-26,1.736003,1.807073,1.723771,1.788983,1.788983,1343083
2014-12-27,1.787626,1.797781,1.73835,1.747347,1.747347,1402534
2014-12-28,1.748666,1.776211,1.718959,1.757582,1.757582,1094502
2014-12-29,1.758071,1.765112,1.72548,1.737137,1.737137,948579
2014-12-30,1.738007,1.751537,1.717488,1.737349,1.737349,987118
2014-12-31,1.73724,1.75225,1.730048,1.745253,1.745253,1012613
2015-01-01,1.748642,1.748642,1.727423,1.732715,1.732715,494763
2015-01-02,1.731675,1.733282,1.737558,1.740529,1.740529,558168
2015-01-03,1.739941,1.739941,1.391948,1.391948,1.391948,3388633
2015-01-04,1.376979,1.405847,1.247902,1.280382,1.280382,2544261
2015-01-05,1.281266,1.411894,1.279507,1.364738,1.364738,6980075
2015-01-06,1.366153,1.397533,1.348108,1.395428,1.395428,2142541
2015-01-07,1.399379,1.4199,1.378878,1.402397,1.402397,2243743
2015-01-08,1.400695,1.405919,1.327575,1.331258,1.331258,1938823
2015-01-09,1.332551,1.332421,1.297708,1.308285,1.308285,1287045
2015-01-10,1.299466,1.306293,1.069829,1.09058,1.09058,1920310
2015-01-11,1.090765,1.238925,1.084426,1.13555,1.13555,1699809
2015-01-12,1.13102,1.183431,1.122344,1.130162,1.130162,1146077
2015-01-13,1.127505,1.133997,1.0152,1.016101,1.016101,2663645
2015-01-14,1.021698,1.044322,0.731184,0.759641,0.759641,3099783
2015-01-15,0.757166,0.90392,0.756161,0.845151,0.845151,2297457
2015-01-16,0.841474,0.967788,0.837465,0.925713,0.925713,1762134
2015-01-17,0.922762,0.926604,0.826637,0.853849,0.853849,1000106
2015-01-18,0.855578,0.905915,0.814207,0.880609,0.880609,1119358
2015-01-19,0.877465,0.897761,0.863894,0.889303,0.889303,482927
2015-01-20,0.888779,0.892672,0.855871,0.873976,0.873976,706326
2015-01-21,0.874208,0.907882,0.870335,0.907074,0.907074,786902
2015-01-22,0.907708,0.959593,0.907768,0.945644,0.945644,1106912
2015-01-23,0.941352,0.954267,0.919105,0.951458,0.951458,845753
2015-01-24,0.954614,1.259098,0.946907,1.230266,1.230266,3242090
2015-01-25,1.229099,1.584673,1.227397,1.499867,1.499867,6123109
2015-01-26,1.497992,1.588863,1.36624,1.379641,1.379641,5836045
2015-01-27,1.375086,1.406489,1.23983,1.373596,1.373596,2964832
2015-01-28,1.377013,1.407278,1.195053,1.236881,1.236881,2177390
2015-01-29,1.239927,1.286834,1.211122,1.270675,1.270675,1453681
