Date,Open,High,Low,Close,Adj Close,Volume
2019-04-28,0.0035,0.003516,0.003342,0.003422,0.003422,6508132
2019-04-29,0.003419,0.003474,0.002684,0.002684,0.002684,6393194
2019-04-30,0.002677,0.003898,0.002674,0.003435,0.003435,19232671
2019-05-01,0.003406,0.003583,0.003117,0.003351,0.003351,8095722
2019-05-02,0.003345,0.003601,0.003142,0.003221,0.003221,5152416
2019-05-03,0.003217,0.003343,0.003035,0.003231,0.003231,4328853
2019-05-04,0.003231,0.003237,0.002899,0.003012,0.003012,2413267
2019-05-05,0.003013,0.003086,0.002716,0.002849,0.002849,2636750
2019-05-06,0.002848,0.003002,0.002685,0.002878,0.002878,3580170
2019-05-07,0.002877,0.002936,0.002563,0.002575,0.002575,2912641
2019-05-08,0.002559,0.002677,0.002495,0.002576,0.002576,2258474
2019-05-09,0.002575,0.002598,0.002313,0.002414,0.002414,3526866
2019-05-10,0.002416,0.002993,0.00238,0.0029,0.0029,6658213
2019-05-11,0.002904,0.003804,0.002871,0.003545,0.003545,10285910
2019-05-12,0.003553,0.004389,0.003418,0.004054,0.004054,13803541
2019-05-13,0.004054,0.007082,0.00394,0.006687,0.006687,57325568
2019-05-14,0.006595,0.008629,0.005621,0.006006,0.006006,75962592
2019-05-15,0.00599,0.007798,0.005501,0.007404,0.007404,38271908
2019-05-16,0.007433,0.009355,0.006495,0.008524,0.008524,46237819
2019-05-17,0.008488,0.011854,0.007293,0.011284,0.011284,132393186
2019-05-18,0.011284,0.011635,0.009507,0.009665,0.009665,44522525
2019-05-19,0.009686,0.016302,0.009678,0.015892,0.015892,111105986
2019-05-20,0.015892,0.02586,0.015149,0.023053,0.023053,311585980
2019-05-21,0.023058,0.035378,0.019799,0.023179,0.023179,549412641
2019-05-22,0.023179,0.024865,0.016125,0.01752,0.01752,210337405
2019-05-23,0.01752,0.026807,0.01728,0.021536,0.021536,331202196
2019-05-24,0.021659,0.022583,0.018086,0.019948,0.019948,118727790
2019-05-25,0.019948,0.022294,0.018196,0.019667,0.019667,116523998
2019-05-26,0.019577,0.021478,0.018084,0.019174,0.019174,75417736
2019-05-27,0.019164,0.019561,0.01652,0.017486,0.017486,64447922
2019-05-28,0.017548,0.019783,0.016597,0.018679,0.018679,73578613
2019-05-29,0.018679,0.019615,0.017502,0.017506,0.017506,44703557
2019-05-30,0.017506,0.018429,0.01482,0.015699,0.015699,42346432
2019-05-31,0.015699,0.018168,0.015436,0.017635,0.017635,46644187
2019-06-01,0.017565,0.018098,0.016369,0.016662,0.016662,44373143
2019-06-02,0.016662,0.017558,0.0156,0.015917,0.015917,27667997
2019-06-03,0.015917,0.016542,0.0149,0.015093,0.015093,25334154
2019-06-04,0.015136,0.017196,0.014243,0.016713,0.016713,58404031
2019-06-05,0.016775,0.018503,0.015485,0.018019,0.018019,77212906
2019-06-06,0.018001,0.019776,0.017109,0.018687,0.018687,76960120
2019-06-07,0.018648,0.019563,0.017695,0.019243,0.019243,34601502
2019-06-08,0.019167,0.020877,0.018406,0.020339,0.020339,50589568
2019-06-09,0.020316,0.021651,0.019323,0.020043,0.020043,57417398
2019-06-10,0.020018,0.021652,0.018877,0.021256,0.021256,47970491
2019-06-11,0.021266,0.021386,0.018494,0.018678,0.018678,40243979
2019-06-12,0.018716,0.019843,0.018088,0.018292,0.018292,41346163
2019-06-13,0.018077,0.019453,0.017529,0.018225,0.018225,49940379
2019-06-14,0.018284,0.018396,0.015327,0.016397,0.016397,38926394
2019-06-15,0.016429,0.018297,0.016419,0.017395,0.017395,36011671
2019-06-16,0.017395,0.018112,0.016459,0.018041,0.018041,35336525
2019-06-17,0.017986,0.018978,0.017015,0.017344,0.017344,34499284
2019-06-18,0.017357,0.018244,0.017026,0.017864,0.017864,32726235
2019-06-19,0.017874,0.019308,0.017827,0.018248,0.018248,46479958
2019-06-20,0.018221,0.018722,0.017082,0.017664,0.017664,31411644
2019-06-21,0.017664,0.018392,0.016283,0.016658,0.016658,36746492
2019-06-22,0.016615,0.017817,0.016091,0.017142,0.017142,54019146
2019-06-23,0.017139,0.017506,0.016216,0.016462,0.016462,32976461
2019-06-24,0.016462,0.0169,0.015937,0.01622,0.01622,17969091
2019-06-25,0.016221,0.016235,0.014982,0.015016,0.015016,26010242
2019-06-26,0.015016,0.015287,0.012827,0.014024,0.014024,55859652
2019-06-27,0.014024,0.016754,0.013488,0.015137,0.015137,63393955
2019-06-28,0.015214,0.016513,0.014979,0.015098,0.015098,45799059
2019-06-29,0.015091,0.020563,0.015091,0.018747,0.018747,85554817
2019-06-30,0.018804,0.021093,0.017289,0.017309,0.017309,60564925
2019-07-01,0.017309,0.018156,0.015918,0.017523,0.017523,34058279
2019-07-02,0.01758,0.017788,0.015506,0.015875,0.015875,30542891
2019-07-03,0.015879,0.016251,0.014805,0.01528,0.01528,35939085
2019-07-04,0.015365,0.015386,0.01362,0.014354,0.014354,26135863
2019-07-05,0.014378,0.015527,0.014072,0.014511,0.014511,21857472
2019-07-06,0.014469,0.014602,0.013943,0.014061,0.014061,10368086
2019-07-07,0.01406,0.014598,0.013785,0.014104,0.014104,11681461
2019-07-08,0.014085,0.014168,0.013204,0.013368,0.013368,15225704
2019-07-09,0.013361,0.013745,0.012387,0.013031,0.013031,21579750
2019-07-10,0.01302,0.013847,0.011949,0.012908,0.012908,32731837
2019-07-11,0.012907,0.013482,0.01142,0.011545,0.011545,21090376
2019-07-12,0.01153,0.013155,0.011275,0.012582,0.012582,18563407
2019-07-13,0.012598,0.014092,0.012211,0.013209,0.013209,26307208
2019-07-14,0.013212,0.013866,0.011344,0.011386,0.011386,16716281
2019-07-15,0.011381,0.011431,0.010312,0.011057,0.011057,13348479
2019-07-16,0.011077,0.011665,0.009546,0.009699,0.009699,16024039
2019-07-17,0.009655,0.011271,0.009406,0.010625,0.010625,19322992
2019-07-18,0.01065,0.011399,0.010071,0.010929,0.010929,17007735
2019-07-19,0.010929,0.0111,0.010641,0.010739,0.010739,8311459
2019-07-20,0.010763,0.011607,0.01061,0.011176,0.011176,8459323
2019-07-21,0.011176,0.01132,0.010549,0.010733,0.010733,5150629
2019-07-22,0.010747,0.010876,0.009952,0.010223,0.010223,6731008
