Date,Open,High,Low,Close,Adj Close,Volume
2022-10-26,28.25,28.25,28.25,28.25,28.25,0
2022-10-27,27.27,27.27,27.27,27.27,27.27,0
2022-10-28,27.059999,28.629999,27.0,27.0,27.0,3214100
2022-10-31,27.0,27.120001,26.0,26.379999,26.379999,3930900
2022-11-01,26.379999,26.4,25.370001,25.9,25.9,2363000
2022-11-02,25.84,26.32,25.25,25.49,25.49,2343100
2022-11-03,25.040001,26.540001,24.85,26.01,26.01,3110600
2022-11-04,26.379999,26.780001,25.77,25.889999,25.889999,842200
2022-11-07,25.84,26.030001,25.0,25.889999,25.889999,1178600
2022-11-08,25.99,27.24,25.52,26.200001,26.200001,1100000
2022-11-09,26.360001,26.58,25.709999,25.889999,25.889999,717700
2022-11-10,26.48,28.24,26.299999,28.09,28.09,1177400
2022-11-11,28.25,30.42,27.84,29.950001,29.950001,1660200
2022-11-14,30.540001,31.879999,28.780001,29.389999,29.389999,2931900
2022-11-15,30.74,31.379999,29.6,29.91,29.91,1844800
2022-11-16,29.74,29.99,27.719999,28.809999,28.809999,1095900
2022-11-17,27.610001,29.93,27.51,29.01,29.01,895500
2022-11-18,29.15,29.68,27.6,28.42,28.42,651000
2022-11-21,29.440001,30.0,26.65,27.219999,27.219999,2369700
2022-11-22,27.219999,29.84,27.02,29.549999,29.549999,1327400
2022-11-23,29.549999,30.77,28.02,29.309999,29.309999,1267200
2022-11-25,29.5,30.459999,29.200001,29.4,29.4,361500
2022-11-28,29.42,29.799999,27.6,27.870001,27.870001,635500
2022-11-29,27.870001,28.309999,26.17,27.440001,27.440001,1659800
2022-11-30,27.620001,29.379999,27.41,28.51,28.51,879700
2022-12-01,29.15,30.6,28.41,29.77,29.77,1496500
2022-12-02,29.5,32.900002,29.25,31.940001,31.940001,2061000
2022-12-05,32.43,33.389999,31.280001,31.5,31.5,2127800
2022-12-06,31.5,31.82,29.540001,30.49,30.49,1495900
2022-12-07,32.43,33.950001,31.129999,32.130001,32.130001,3768600
2022-12-08,33.5,33.5,31.370001,31.59,31.59,1723600
2022-12-09,31.6,34.380001,31.57,33.700001,33.700001,2361300
2022-12-12,34.0,34.240002,32.889999,33.049999,33.049999,1028400
2022-12-13,35.0,36.0,33.200001,34.66,34.66,2501200
2022-12-14,35.0,37.310001,34.5,35.43,35.43,2121300
2022-12-15,35.52,35.849998,33.360001,34.5,34.5,2300400
2022-12-16,34.330002,35.41,32.59,33.810001,33.810001,5407700
2022-12-19,34.0,36.369999,32.82,35.040001,35.040001,2879500
2022-12-20,35.040001,35.700001,33.599998,33.720001,33.720001,1455000
2022-12-21,34.200001,35.799999,33.5,35.470001,35.470001,1904000
2022-12-22,35.360001,35.52,32.68,33.880001,33.880001,1225900
2022-12-23,34.099998,35.290001,33.32,33.98,33.98,1137700
2022-12-27,34.110001,35.5,33.810001,34.32,34.32,1264500
2022-12-28,34.310001,34.759998,32.779999,33.580002,33.580002,1460800
2022-12-29,33.740002,34.540001,32.169998,34.509998,34.509998,1532200
2022-12-30,34.189999,35.25,34.189999,35.060001,35.060001,1565100
2023-01-03,35.639999,36.490002,32.389999,32.709999,32.709999,1950700
2023-01-04,32.73,32.790001,29.83,31.129999,31.129999,3412600
2023-01-05,31.1,31.1,29.440001,30.040001,30.040001,2262300
2023-01-06,30.0,32.830002,28.73,31.620001,31.620001,3840500
2023-01-09,31.99,34.25,30.049999,33.41,33.41,4722900
2023-01-10,33.41,34.59,32.509998,33.43,33.43,2619200
2023-01-11,33.860001,34.18,31.4,33.150002,33.150002,2565400
