Date,Open,High,Low,Close,Adj Close,Volume
2014-12-11,14.25,17.5,13.8,17.02,13.730212,19850700
2014-12-12,16.5,16.5,14.89,15.15,12.221663,6046700
2014-12-15,15.21,15.4,13.6,14.46,11.665033,2894900
2014-12-16,14.46,14.46,13.81,13.92,11.229409,1442600
2014-12-17,13.8,14.0,13.2,13.29,10.721182,1944600
2014-12-18,13.24,14.17,12.91,13.76,11.100336,2092200
2014-12-19,13.69,13.69,12.01,12.56,10.132284,2619700
2014-12-22,12.29,12.3,10.82,10.83,8.736673,2646200
2014-12-23,10.85,12.13,10.84,11.97,9.656324,2734900
2014-12-24,12.29,12.379,11.75,12.03,9.704727,678900
2014-12-26,12.14,12.35,11.5,11.53,9.301372,779700
2014-12-29,11.63,12.195,11.45,11.53,9.301372,516100
2014-12-30,11.4,11.95,11.32,11.87,9.575653,300400
2014-12-31,11.82,12.22,11.665,12.0,9.680526,474700
2015-01-02,12.0,12.8,11.95,12.77,10.301693,781300
2015-01-05,12.77,13.63,12.42,13.09,10.55984,1266000
2015-01-06,13.21,13.349,11.88,12.16,9.809599,1167800
2015-01-07,12.34,12.67,11.99,12.25,9.882202,394600
2015-01-08,12.38,12.38,12.06,12.08,9.745063,383200
2015-01-09,12.01,12.33,11.75,12.07,9.736995,658400
2015-01-12,12.09,12.43,11.76,11.97,9.656324,366100
2015-01-13,12.0,12.07,10.05,10.78,8.696339,1321300
2015-01-14,10.58,10.88,10.3,10.73,8.656003,653400
2015-01-15,10.71,11.4,10.08,11.12,8.970621,530200
2015-01-16,11.06,11.189,10.76,10.95,8.833478,149700
2015-01-20,10.91,11.15,10.58,10.91,8.80121,270300
2015-01-21,10.85,11.34,10.7,11.2,9.035156,208800
2015-01-22,11.28,11.28,10.75,10.81,8.720541,712000
2015-01-23,10.74,10.9,10.21,10.49,8.462393,761900
2015-01-26,10.4,10.67,10.25,10.33,8.333319,226200
2015-01-27,10.2,10.25,9.8,10.02,8.083239,608100
2015-01-28,10.01,10.46,10.01,10.28,8.292983,571000
2015-01-29,10.22,10.28,9.7,9.94,8.018702,710100
2015-01-30,9.92,10.0,9.818,9.84,7.938031,250100
2015-02-02,9.84,9.98,9.72,9.82,7.921897,285300
2015-02-03,9.94,10.35,9.79,10.19,8.22038,316300
2015-02-04,10.3,11.73,10.11,10.71,8.639869,704500
2015-02-05,10.7,11.17,10.46,10.48,8.454325,393200
2015-02-06,10.56,10.83,10.3,10.335,8.337353,194400
2015-02-09,10.31,10.5,10.31,10.38,8.373655,130000
2015-02-10,10.4,10.64,10.18,10.27,8.284917,183100
2015-02-11,10.23,10.441,10.18,10.25,8.268782,81800
2015-02-12,10.39,11.59,10.33,11.49,9.269103,598400
2015-02-13,11.6,12.17,11.01,11.02,8.889949,754800
2015-02-17,11.12,11.364,11.0,11.22,9.051291,148200
2015-02-18,11.3,11.3,11.09,11.21,9.043224,98900
2015-02-19,11.12,11.405,11.11,11.15,8.994822,47500
2015-02-20,11.4,11.58,11.11,11.5,9.27717,204500
2015-02-23,11.5,11.73,11.414,11.5,9.27717,175900
2015-02-24,11.6,12.28,11.5,12.27,9.898337,420700
2015-02-25,12.3,12.71,12.04,12.52,10.100015,520000
2015-02-26,12.72,12.81,12.4,12.52,10.100015,773300
2015-02-27,12.33,12.615,11.25,11.31,9.123896,349700
2015-03-02,11.85,12.88,11.4,12.0,9.680526,722300
2015-03-03,11.89,12.45,11.71,12.18,9.825733,1382900
2015-03-04,12.07,12.85,12.03,12.55,10.124216,1168000
2015-03-05,12.6,12.6,10.5,11.09,8.946419,1982900
2015-03-06,10.69,11.25,10.58,11.03,8.898015,996100
2015-03-09,10.99,11.08,10.7,10.93,8.817346,336700
2015-03-10,10.85,10.95,10.37,10.44,8.422057,768600
2015-03-11,10.5,10.69,10.3,10.62,8.567266,1095600
2015-03-12,10.57,10.66,10.2,10.28,8.292983,257500
2015-03-13,10.3,10.5,10.0,10.02,8.083239,502000
2015-03-16,10.0,10.55,10.0,10.3,8.309117,449300
2015-03-17,10.3,10.3,10.0,10.0,8.067104,255400
2015-03-18,10.2,10.2,9.83,10.01,8.075172,250100
2015-03-19,10.0,10.19,9.96,10.02,8.083239,159000
2015-03-20,10.27,10.55,10.04,10.41,8.397856,346100
2015-03-23,10.38,10.5,9.96,10.4,8.389788,733300
2015-03-24,10.35,10.5,10.09,10.44,8.422057,434000
2015-03-25,10.23,10.44,10.1,10.29,8.30105,276600
2015-03-26,10.08,10.53,10.06,10.52,8.486594,271300
2015-03-27,10.46,10.88,10.418,10.7,8.631802,321000
2015-03-30,10.68,10.88,10.4,10.5,8.470459,277700
2015-03-31,10.52,10.64,10.4,10.6,8.551131,306200
2015-04-01,10.63,10.74,10.15,10.59,8.543064,313500
2015-04-02,10.38,10.65,9.5,10.51,8.478527,978200
2015-04-06,10.43,10.99,10.35,10.85,8.752809,267100
2015-04-07,10.61,10.9,10.46,10.5,8.470459,159500
2015-04-08,10.34,11.49,10.34,11.17,9.010956,469900
2015-04-09,11.11,12.12,10.9,11.96,9.648257,794200
2015-04-10,12.0,12.18,11.52,11.52,9.293304,192500
2015-04-13,11.49,11.93,10.92,11.2,9.035156,348300
2015-04-14,11.06,11.46,10.93,11.41,9.204566,184300
2015-04-15,11.39,11.39,10.9,10.99,8.865747,365200
2015-04-16,11.03,11.4,10.952,11.26,9.08356,232600
2015-04-17,11.16,11.47,10.86,10.92,8.809278,210400
2015-04-20,11.0,11.267,10.75,10.99,8.865747,309500
2015-04-21,11.09,11.138,10.94,11.0,8.873815,277000
2015-04-22,11.07,11.73,10.955,11.2,9.035156,706600
2015-04-23,11.1,11.8,11.1,11.39,9.188433,566700
2015-04-24,11.4,12.47,11.4,12.41,10.011276,591200
2015-04-27,12.4,12.4,11.81,11.93,9.624056,543200
2015-04-28,12.52,12.727,11.6,11.7,9.438512,528200
2015-04-29,11.53,11.73,11.3,11.36,9.16423,204100
2015-04-30,11.3,11.42,10.9,11.05,8.91415,319700
2015-05-01,11.05,11.31,10.9,11.17,9.010956,200100
2015-05-04,11.21,11.45,11.07,11.26,9.08356,756300
2015-05-05,11.25,11.26,10.56,10.88,8.77701,195600
2015-05-06,10.85,11.1,10.67,10.96,8.841547,115200
2015-05-07,11.0,11.25,10.8,10.93,8.817346,121100
2015-05-08,11.01,11.5,10.96,11.29,9.107761,227500
2015-05-11,11.32,11.59,11.01,11.07,8.930285,414400
2015-05-12,11.0,11.31,10.82,11.1,8.954486,298700
2015-05-13,11.18,11.33,10.96,10.98,8.857679,228400
2015-05-14,11.06,12.48,10.88,12.38,9.987075,1040200
2015-05-15,12.49,12.75,11.73,12.39,9.995143,702000
2015-05-18,12.3,13.16,12.01,12.82,10.342028,1501300
2015-05-19,15.22,16.35,14.55,16.27,13.125179,9333800
2015-05-20,15.82,19.146,15.36,17.200001,13.875421,6262700
2015-05-21,17.6,18.370001,16.219999,16.85,13.593071,2244900
2015-05-22,16.98,18.65,16.98,17.9,14.440117,2060200
2015-05-26,17.889999,19.379999,17.290001,18.940001,15.279097,2319100
2015-05-27,18.879999,19.889999,18.35,19.110001,15.416237,1253300
2015-05-28,18.700001,18.709999,16.690001,18.34,14.795069,1718300
2015-05-29,18.43,19.09,17.77,18.059999,14.569191,806300
2015-06-01,18.5,18.9,16.950001,17.02,13.730212,1339800
2015-06-02,17.07,17.9,16.91,17.049999,13.754413,913700
2015-06-03,17.280001,17.6,16.91,17.51,14.125501,605700
2015-06-04,17.32,18.09,16.92,16.98,13.697943,1075400
2015-06-05,17.0,18.1,16.51,17.129999,13.818951,2055100
2015-06-08,17.299999,18.120001,17.01,17.040001,13.746346,1496400
2015-06-09,16.559999,16.68,15.06,16.0,12.907367,3932100
2015-06-10,15.61,16.1,15.6,15.8,12.746026,1803800
2015-06-11,15.8,16.0,15.39,15.46,12.471744,2254600
2015-06-12,15.45,15.97,15.15,15.65,12.625018,3391200
2015-06-15,15.82,15.88,15.11,15.63,12.608884,3110500
2015-06-16,15.51,15.78,15.13,15.6,12.584683,2011100
2015-06-17,15.9,17.09,15.84,16.41,13.238119,4370900
2015-06-18,16.5,17.379999,16.336,16.99,13.70601,2025600
2015-06-19,16.92,17.299999,16.6,16.83,13.576938,2673700
2015-06-22,16.860001,17.0,15.64,15.69,12.657287,1566000
2015-06-23,17.26,17.799999,17.08,17.24,13.907688,6264200
2015-06-24,17.24,17.57,17.16,17.219999,13.891553,1286800
2015-06-25,17.1,17.25,16.85,17.059999,13.762481,1169300
2015-06-26,16.879999,16.93,16.25,16.530001,13.334925,1181400
2015-06-29,16.049999,16.5,15.8,15.83,12.770226,1201000
2015-06-30,16.200001,16.66,15.93,16.1,12.988039,1214600
2015-07-01,16.139999,16.4,15.8,15.88,12.810563,896000
2015-07-02,16.0,16.207001,15.83,16.110001,12.996106,341800
2015-07-06,15.8,15.82,14.54,14.75,11.898978,2094000
2015-07-07,14.58,15.17,12.8,13.96,11.261679,2547300
2015-07-08,12.91,13.94,12.91,13.68,11.035799,1176200
2015-07-09,15.45,16.25,15.024,15.05,12.140992,1588800
2015-07-10,15.51,15.77,15.15,15.28,12.326535,859900
2015-07-13,15.5,15.94,15.28,15.73,12.689555,402500
2015-07-14,15.62,16.219999,15.571,16.1,12.988039,962500
2015-07-15,16.0,16.0,15.18,15.57,12.560481,1144800
2015-07-16,15.73,15.98,15.72,15.77,12.721825,769500
