Date,Open,High,Low,Close,Adj Close,Volume
2021-10-27,23.0,24.77,18.75,19.290001,19.290001,9179100
2021-10-28,19.610001,19.68,18.85,18.85,18.85,1744200
2021-10-29,18.73,19.25,17.02,17.25,17.25,1691500
2021-11-01,17.49,17.610001,16.5,16.85,16.85,1201800
2021-11-02,17.75,17.75,16.0,16.01,16.01,1143700
2021-11-03,16.059999,16.15,15.059,15.87,15.87,1034900
2021-11-04,15.52,16.281,15.52,16.030001,16.030001,462600
2021-11-05,16.33,16.719999,16.018999,16.639999,16.639999,757000
2021-11-08,16.5,18.059999,16.26,17.83,17.83,598900
2021-11-09,18.120001,18.610001,17.129999,18.18,18.18,851900
2021-11-10,18.6,18.6,16.51,17.09,17.09,2440100
2021-11-11,17.1,18.360001,17.030001,17.940001,17.940001,574800
2021-11-12,18.08,18.389999,17.0,17.059999,17.059999,509700
2021-11-15,17.059999,17.610001,16.0,16.040001,16.040001,771600
2021-11-16,16.0,16.485001,15.49,15.58,15.58,475100
2021-11-17,15.59,16.49,15.35,16.4,16.4,411400
2021-11-18,16.17,16.950001,16.030001,16.32,16.32,354700
2021-11-19,16.52,16.889999,16.0,16.200001,16.200001,391800
2021-11-22,17.4,18.459999,15.78,15.92,15.92,1773100
2021-11-23,16.0,16.99,15.0,15.0,15.0,1286800
2021-11-24,15.0,16.379999,14.52,15.82,15.82,932000
2021-11-26,15.5,16.0,15.14,15.88,15.88,438100
2021-11-29,15.74,15.88,14.36,14.6,14.6,938800
2021-11-30,14.57,14.79,13.0,13.52,13.52,755000
2021-12-01,14.0,14.0,12.15,12.25,12.25,1204700
2021-12-02,12.16,12.62,12.01,12.58,12.58,880500
2021-12-03,12.98,13.0,11.5,12.13,12.13,1143500
2021-12-06,12.25,12.35,10.88,10.99,10.99,1416100
2021-12-07,11.61,13.37,11.12,12.81,12.81,1528900
2021-12-08,12.5,13.24,11.3,11.5,11.5,2769300
2021-12-09,10.4,11.18,9.81,11.02,11.02,2556000
2021-12-10,11.0,11.265,9.5,10.11,10.11,1692800
2021-12-13,10.19,10.41,9.56,9.68,9.68,945500
2021-12-14,9.7,10.149,9.47,9.8,9.8,1126400
2021-12-15,9.68,9.99,8.91,9.91,9.91,1986600
2021-12-16,9.89,10.74,8.8,8.89,8.89,1709700
2021-12-17,8.91,9.05,8.06,8.64,8.64,4673400
2021-12-20,8.64,9.18,8.46,8.69,8.69,924800
2021-12-21,8.9,9.2,8.68,8.86,8.86,584700
2021-12-22,8.85,9.12,8.3,8.4,8.4,561300
2021-12-23,8.46,9.245,8.241,8.8,8.8,789000
2021-12-27,8.81,9.2,8.6,8.94,8.94,394900
2021-12-28,8.94,9.19,7.87,8.04,8.04,1139500
2021-12-29,8.04,8.36,7.69,8.29,8.29,702800
2021-12-30,8.12,8.75,8.12,8.38,8.38,579900
2021-12-31,8.36,8.66,8.08,8.15,8.15,449800
2022-01-03,8.3,8.51,7.9,8.4,8.4,483200
2022-01-04,8.4,8.5,7.58,7.94,7.94,849900
2022-01-05,7.87,8.15,7.07,7.31,7.31,1044100
2022-01-06,7.25,7.58,6.91,7.42,7.42,1054700
2022-01-07,7.46,7.5,6.555,6.62,6.62,1200000
2022-01-10,6.52,6.68,6.095,6.66,6.66,1905500
2022-01-11,6.55,6.9,6.36,6.7,6.7,1098500
2022-01-12,6.8,6.96,6.37,6.38,6.38,605100
2022-01-13,6.38,6.51,5.69,5.71,5.71,730100
2022-01-14,5.65,5.795,5.245,5.43,5.43,1102900
2022-01-18,5.37,5.49,5.01,5.05,5.05,1213600
2022-01-19,5.19,5.54,5.01,5.21,5.21,1028900
2022-01-20,5.24,5.64,4.96,5.01,5.01,703500
2022-01-21,4.97,5.11,4.65,4.73,4.73,1095900
2022-01-24,4.61,5.39,4.37,5.35,5.35,1878800
2022-01-25,5.19,5.49,5.07,5.19,5.19,774600
2022-01-26,5.34,5.6,4.92,5.04,5.04,953200
2022-01-27,5.08,5.33,4.83,4.87,4.87,709500
2022-01-28,4.88,5.19,4.64,5.18,5.18,717800
2022-01-31,5.17,6.02,5.12,5.77,5.77,1228500
2022-02-01,5.92,5.95,5.46,5.92,5.92,1087300
2022-02-02,5.93,5.93,4.98,5.1,5.1,1481900
2022-02-03,4.99,5.39,4.93,4.99,4.99,737000
2022-02-04,5.03,5.5,4.71,5.43,5.43,1102800
2022-02-07,5.48,5.824,5.35,5.59,5.59,748200
