Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,0.001536,0.001742,0.001434,0.001519,0.001519,1325796
2017-11-12,0.001521,0.001521,0.001277,0.001359,0.001359,1657294
2017-11-13,0.001368,0.001639,0.00135,0.00161,0.00161,2202264
2017-11-14,0.001609,0.001953,0.001573,0.001889,0.001889,3070913
2017-11-15,0.001858,0.0019,0.001662,0.001763,0.001763,3802050
2017-11-16,0.001764,0.001774,0.001381,0.001674,0.001674,3850924
2017-11-17,0.001657,0.001658,0.001476,0.001502,0.001502,4330111
2017-11-18,0.001499,0.001546,0.001442,0.001535,0.001535,4322020
2017-11-19,0.001529,0.001599,0.001476,0.001517,0.001517,3250091
2017-11-20,0.00151,0.001651,0.00151,0.001611,0.001611,2952345
2017-11-21,0.001622,0.001662,0.001514,0.001618,0.001618,2580039
2017-11-22,0.00162,0.001917,0.001602,0.001729,0.001729,3094284
2017-11-23,0.001736,0.001822,0.001535,0.001582,0.001582,3309284
2017-11-24,0.001583,0.001627,0.001478,0.001518,0.001518,3152958
2017-11-25,0.00152,0.001582,0.001495,0.001536,0.001536,3528136
2017-11-26,0.001537,0.001642,0.001478,0.001605,0.001605,4688403
2017-11-27,0.001614,0.00167,0.001505,0.001548,0.001548,4808994
2017-11-28,0.001548,0.001803,0.001495,0.001727,0.001727,4538659
2017-11-29,0.001729,0.001948,0.001442,0.001542,0.001542,5854078
2017-11-30,0.001558,0.001708,0.001509,0.001659,0.001659,3071740
2017-12-01,0.001657,0.001661,0.001525,0.001572,0.001572,4672658
2017-12-02,0.001567,0.001642,0.001509,0.001539,0.001539,4276303
2017-12-03,0.001544,0.001636,0.001513,0.001569,0.001569,5383053
2017-12-04,0.001574,0.001611,0.001515,0.001591,0.001591,7754825
2017-12-05,0.001587,0.001628,0.001534,0.001555,0.001555,6523949
2017-12-06,0.001542,0.003046,0.001542,0.002281,0.002281,24880284
2017-12-07,0.00234,0.00434,0.002222,0.003171,0.003171,32795802
2017-12-08,0.003198,0.003504,0.002725,0.003284,0.003284,16144063
2017-12-09,0.003318,0.003579,0.003217,0.003343,0.003343,13091609
2017-12-10,0.003327,0.00346,0.002607,0.003292,0.003292,13551307
2017-12-11,0.003313,0.003957,0.003272,0.003957,0.003957,15087435
2017-12-12,0.003879,0.005763,0.003674,0.005717,0.005717,36566376
2017-12-13,0.005717,0.013495,0.005122,0.012276,0.012276,130011193
2017-12-14,0.012265,0.014952,0.01125,0.013171,0.013171,143561159
2017-12-15,0.01297,0.01384,0.010852,0.01384,0.01384,104895262
2017-12-16,0.013819,0.028026,0.013819,0.027232,0.027232,252643592
2017-12-17,0.028283,0.031074,0.025977,0.02718,0.02718,254183246
2017-12-18,0.027317,0.035146,0.024494,0.03333,0.03333,276126464
2017-12-19,0.03322,0.040355,0.029992,0.035003,0.035003,175653772
2017-12-20,0.035006,0.036564,0.027387,0.036564,0.036564,237260815
2017-12-21,0.037375,0.053071,0.02969,0.034367,0.034367,344129785
2017-12-22,0.034137,0.034672,0.016907,0.029256,0.029256,370155735
2017-12-23,0.030174,0.042725,0.026936,0.038777,0.038777,377356238
2017-12-24,0.038539,0.038741,0.024906,0.0271,0.0271,172839614
2017-12-25,0.027473,0.031262,0.024881,0.026303,0.026303,141775086
2017-12-26,0.026729,0.034052,0.024555,0.028287,0.028287,197207262
2017-12-27,0.028286,0.03083,0.026404,0.027484,0.027484,129211253
2017-12-28,0.027402,0.031235,0.024046,0.031235,0.031235,194925578
2017-12-29,0.03126,0.032107,0.025748,0.026901,0.026901,182724239
2017-12-30,0.026907,0.028712,0.023029,0.026948,0.026948,189977798
2017-12-31,0.026738,0.033529,0.025667,0.033154,0.033154,277931545
2018-01-01,0.033102,0.03906,0.03217,0.03827,0.03827,382586627
2018-01-02,0.038548,0.064042,0.038545,0.057884,0.057884,1180048507
2018-01-03,0.057859,0.070093,0.050217,0.070103,0.070103,841550113
2018-01-04,0.070264,0.160267,0.070264,0.153486,0.153486,3018014796
2018-01-05,0.154671,0.221572,0.130271,0.162555,0.162555,2848172075
2018-01-06,0.165462,0.171117,0.105505,0.12883,0.12883,1796395849
2018-01-07,0.128006,0.147086,0.107454,0.147086,0.147086,1289487220
2018-01-08,0.151168,0.151168,0.097123,0.112023,0.112023,1129363208
2018-01-09,0.113624,0.115406,0.078253,0.092233,0.092233,932892270
2018-01-10,0.093887,0.101069,0.07211,0.095887,0.095887,1280378950
