Date,Open,High,Low,Close,Adj Close,Volume
2021-01-02,3.462737,3.780884,3.284807,3.543634,3.543634,1037459471
2021-01-03,3.544688,4.103915,3.417051,3.981355,3.981355,1596423663
2021-01-04,4.000937,4.508131,3.605598,3.983909,3.983909,2731819207
2021-01-05,3.993129,4.810206,3.863653,4.607794,4.607794,2169781862
2021-01-06,4.611193,4.843613,4.448995,4.704443,4.704443,1807778727
2021-01-07,4.705477,4.99329,4.509501,4.619093,4.619093,1829840546
2021-01-08,4.618132,4.67299,4.064442,4.340624,4.340624,2213571033
2021-01-09,4.341448,4.679961,4.193707,4.60824,4.60824,1397010601
2021-01-10,4.607021,4.853144,4.133913,4.431795,4.431795,1736869622
2021-01-11,4.432639,4.432639,3.313331,3.883294,3.883294,3490477728
2021-01-12,3.878441,4.242369,3.663573,4.057485,4.057485,1818811300
2021-01-13,4.057027,4.672658,3.865645,4.634388,4.634388,1222288322
2021-01-14,4.63523,5.213496,4.539632,5.022105,5.022105,1570751505
2021-01-15,5.041469,5.495793,4.758157,5.418179,5.418179,2136889151
2021-01-16,5.416759,6.786573,5.328384,6.195425,6.195425,2181809080
2021-01-17,6.203963,6.738416,5.963494,6.382857,6.382857,1899545075
2021-01-18,6.385389,7.272057,6.157538,6.784813,6.784813,1566709685
2021-01-19,6.77889,7.079422,6.247113,6.333324,6.333324,3062284924
2021-01-20,6.320006,6.597851,5.616147,6.57268,6.57268,3053478494
2021-01-21,6.575246,6.595731,5.397238,5.537634,5.537634,2680197555
2021-01-22,5.528936,6.593131,5.183466,6.371318,6.371318,2456999336
2021-01-23,6.363179,6.949101,6.247426,6.800875,6.800875,1428997626
2021-01-24,6.804341,8.942124,6.720635,8.8023,8.8023,2882233174
2021-01-25,8.788672,9.406806,7.991431,8.300453,8.300453,3561380885
2021-01-26,8.291136,10.334807,8.239194,10.072781,10.072781,4272352441
2021-01-27,10.087428,11.319995,9.608751,10.850589,10.850589,4661700658
2021-01-28,10.844444,11.257429,10.017171,10.34984,10.34984,1533441457
2021-01-29,10.341734,11.457857,10.293656,11.457857,11.457857,1352716894
2021-01-30,11.432972,14.267286,11.021759,14.202467,14.202467,1628982716
2021-01-31,14.220223,14.874963,12.790163,12.897561,12.897561,1641849235
2021-02-01,12.921698,15.136424,12.19465,14.928389,14.928389,1621643435
2021-02-02,14.939883,14.984903,13.287283,13.971321,13.971321,1225970074
2021-02-03,13.955779,15.005654,13.731493,14.480405,14.480405,1035960599
2021-02-04,14.487432,15.777947,14.379202,14.734487,14.734487,991073461
2021-02-05,14.730345,16.229359,14.476858,15.422843,15.422843,905093832
2021-02-06,15.417031,15.714942,14.0305,14.05024,14.05024,781584976
2021-02-07,14.037312,14.287777,12.494984,13.602019,13.602019,784936366
2021-02-08,13.590257,14.637732,13.246192,14.07375,14.07375,800485339
2021-02-09,14.077944,14.450758,13.740898,14.138997,14.138997,595543932
2021-02-10,14.130524,16.159023,14.130524,14.996653,14.996653,1094007935
2021-02-11,14.984093,15.869585,14.600126,15.606594,15.606594,680738745
2021-02-12,15.596455,17.103094,15.398485,16.430588,16.430588,956739890
2021-02-13,16.420338,16.956619,15.414398,15.75405,15.75405,700400359
2021-02-14,15.753738,16.306873,15.048809,15.09069,15.09069,563942017
