Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,80.186531,96.380043,78.767059,90.700638,90.700638,81671216
2017-11-12,90.686234,101.361092,83.877762,94.402443,94.402443,110478659
2017-11-13,98.292686,104.053047,92.201294,94.063576,94.063576,88573824
2017-11-14,94.226692,94.50692,90.457527,92.994598,92.994598,40696815
2017-11-15,92.909477,94.744759,90.537033,92.145462,92.145462,37941619
2017-11-16,92.046005,97.264786,89.844574,91.153961,91.153961,56784434
2017-11-17,90.934235,95.904922,90.047569,95.904922,95.904922,35673075
2017-11-18,95.825447,102.196648,93.504654,99.007645,99.007645,47048974
2017-11-19,98.948601,101.141472,96.311325,98.105019,98.105019,31923776
2017-11-20,98.117897,106.244614,97.359245,102.533798,102.533798,45272562
2017-11-21,102.790573,107.444855,99.171127,107.004387,107.004387,54885629
2017-11-22,107.264076,130.187653,106.550652,124.643227,124.643227,142310350
2017-11-23,124.763405,129.838562,117.572701,119.226486,119.226486,82231076
2017-11-24,119.235512,122.191231,117.688438,120.005241,120.005241,51877015
2017-11-25,119.981247,127.562057,119.981247,126.315712,126.315712,48051519
2017-11-26,126.4132,126.524185,119.807274,122.634735,122.634735,45864285
2017-11-27,122.290947,130.174179,119.76638,130.174179,130.174179,61178450
2017-11-28,131.642654,152.069153,130.048813,152.069153,152.069153,134085915
2017-11-29,152.595215,159.894775,123.151581,125.354103,125.354103,133314448
2017-11-30,127.095566,145.026352,116.138153,133.159378,133.159378,94701360
2017-12-01,132.851868,142.42688,125.453003,141.750565,141.750565,52286931
2017-12-02,141.673355,152.386047,138.592438,150.730515,150.730515,59978548
2017-12-03,150.976242,155.223465,142.287033,148.306763,148.306763,82513900
2017-12-04,147.944244,156.058502,142.0009,156.058502,156.058502,55325416
2017-12-05,156.716156,203.207123,155.092438,200.927536,200.927536,262694614
2017-12-06,199.943329,236.831955,194.60199,208.129196,208.129196,406186730
2017-12-07,207.518295,224.506241,196.676636,208.318512,208.318512,222168818
2017-12-08,208.655243,213.091705,186.19075,206.787704,206.787704,150561901
2017-12-09,207.17775,210.265274,187.09407,196.169006,196.169006,120415452
2017-12-10,196.44249,196.44249,164.962265,183.221054,183.221054,106138910
2017-12-11,182.935776,210.606262,182.318726,209.536972,209.536972,114255632
2017-12-12,210.902069,240.09082,210.690842,231.316254,231.316254,204074173
2017-12-13,230.838715,247.320511,213.755722,228.031769,228.031769,185399021
2017-12-14,226.181396,250.001495,224.905594,242.13089,242.13089,194366013
2017-12-15,242.428696,242.688293,220.378113,234.493576,234.493576,122422104
2017-12-16,234.709808,248.92485,234.034836,245.754944,245.754944,123778806
2017-12-17,246.308289,274.227783,245.718155,263.892578,263.892578,209316554
2017-12-18,265.164093,285.17865,249.20607,285.17865,285.17865,162435342
